Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20220905105856,Accident,DCA22WA194,2022-08-18,"Darwin, ",American Samoa,,,,Unknown,UNREG,Uvify,IFO,No,,,,0.0,0.0,0.0,0.0,,,,,0.0,False,Uvify IFO
20221114106287,Accident,WPR22LA373,2022-08-18,"Avalon, CA",United States,KAVX,,Non-Fatal,Substantial,N52946,CESSNA,177RG,No,1,,Personal,0.0,0.0,0.0,3.0,,,,17-11-2022,3.0,False,CESSNA 177RG
20220819105770,Accident,ERA22FA376,2022-08-19,"Glendora, MS",United States,,,Fatal,Substantial,N602PB,AIR TRACTOR INC,AT-602,No,1,,Aerial Application,1.0,0.0,0.0,0.0,Vmc,,,26-08-2022,1.0,False,AIR TRACTOR INC AT-602
20220822105774,Accident,ERA22LA378,2022-08-19,"Marathon, FL",United States,MTH,The Florida Keys Marathon Inte,Non-Fatal,Substantial,N587FL,PIPER,PA-28-140,No,1,,Personal,0.0,0.0,0.0,2.0,Vmc,,,19-09-2022,2.0,False,PIPER PA-28-140
20220822105780,Accident,ERA22LA381,2022-08-19,"Orlando, FL",United States,,,Non-Fatal,Substantial,N6241A,CESSNA,182,No,1,,Flight Test,0.0,0.0,0.0,1.0,Vmc,,,31-08-2022,1.0,False,CESSNA 182
20220912105906,Accident,ERA22LA408,2022-08-19,"Hollywood, MD",United States,2W6,St Mary's County,Non-Fatal,Substantial,N7154U,MOONEY,M20E,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,,"The pilot's failure to extend the landing gear before landing.",01-11-2022,1.0,False,MOONEY M20E
20220928106011,Accident,CEN22LA435,2022-08-19,"Grand Glaize, MO",United States,K15,,Non-Fatal,Substantial,N711DM,BEECH,C23,No,1,,Personal,0.0,0.0,0.0,1.0,,,,05-10-2022,1.0,False,BEECH C23
20220822105776,Accident,ERA22LA379,2022-08-20,"Bealeton, VA",United States,3VA3,Flying Circus Aerodrome,Minor,Substantial,N55267,BOEING,A75N1,No,1,,Business,0.0,2.0,0.0,2.0,Vmc,,,27-09-2022,4.0,False,BOEING A75N1
20220822105776,Accident,ERA22LA379,2022-08-20,"Bealeton, VA",United States,3VA3,Flying Circus Aerodrome,Minor,Substantial,N52652,BOEING,A75N1,No,1,,Business,0.0,2.0,0.0,2.0,Vmc,,,27-09-2022,4.0,False,BOEING A75N1
20220822105779,Accident,ERA22LA380,2022-08-20,"Berry, AL",United States,,,Non-Fatal,Substantial,N8797G,CESSNA,150,No,1,,Instructional,0.0,0.0,0.0,2.0,Vmc,,,07-09-2022,2.0,False,CESSNA 150
20220824105792,Accident,WPR22LA315,2022-08-20,"Donnelly, ID",United States,ID76,Elk Ridge Airport,Non-Fatal,Substantial,N735DU,CESSNA,182Q,No,1,Reciprocating,Personal,0.0,0.0,0.0,2.0,Vmc,,"The pilot’s improper decision to takeoff from a wet grass runway which did not allow for adequate braking traction when the pilot aborted the takeoff, which resulted in a runway excursion.",08-12-2022,2.0,False,CESSNA 182Q
20221031106232,Accident,WPR22LA371,2022-08-20,"Pacific Ocean, CA",United States,,,Fatal,Unknown,N9670V,CESSNA,172M,No,1,,Personal,1.0,0.0,0.0,0.0,,,,22-11-2022,1.0,False,CESSNA 172M
20220823105784,Accident,ERA22LA382,2022-08-21,"Clermont, FL",United States,6FL0,Seminole Lake Gliderport,Non-Fatal,Substantial,N44FC,AERONCA,7AC,No,1,,Personal,0.0,0.0,0.0,1.0,Vmc,,,09-09-2022,1.0,False,AERONCA 7AC
